vehicle_age,vehicle_model,charging_station_location
5,Nissan Leaf,Los Angeles
5,Hyundai Kona,San Francisco
5,Hyundai Kona,Los Angeles
5,Chevy Bolt,Chicago
5,Hyundai Kona,Houston
5,BMW i3,Houston
5,Chevy Bolt,Chicago
5,Chevy Bolt,Chicago
5,Chevy Bolt,New York
5,BMW i3,Houston
5,Chevy Bolt,Chicago
5,Chevy Bolt,Los Angeles
5,Chevy Bolt,Chicago
5,Tesla Model 3,Chicago
5,Nissan Leaf,New York
5,Tesla Model 3,Los Angeles
5,BMW i3,Chicago
5,Chevy Bolt,San Francisco
5,Nissan Leaf,New York
5,BMW i3,Los Angeles
5,Nissan Leaf,New York
5,Hyundai Kona,Houston
5,Chevy Bolt,New York
5,Tesla Model 3,New York
5,Chevy Bolt,San Francisco
5,BMW i3,Chicago
5,Chevy Bolt,Houston
5,BMW i3,Chicago
5,Chevy Bolt,Houston
5,Hyundai Kona,New York
5,Nissan Leaf,San Francisco
5,Nissan Leaf,Los Angeles
5,BMW i3,Houston
5,BMW i3,Los Angeles
5,Tesla Model 3,Houston
5,Hyundai Kona,New York
5,Tesla Model 3,Houston
5,BMW i3,Houston
5,Hyundai Kona,Chicago
5,Tesla Model 3,New York
5,Chevy Bolt,San Francisco
5,BMW i3,Houston
5,Tesla Model 3,San Francisco
5,Nissan Leaf,Los Angeles
5,BMW i3,San Francisco
5,Nissan Leaf,New York
5,Hyundai Kona,Houston
5,Chevy Bolt,Chicago
5,Tesla Model 3,Houston
5,Tesla Model 3,San Francisco
5,Tesla Model 3,Los Angeles
5,Chevy Bolt,San Francisco
5,Tesla Model 3,Houston
5,Tesla Model 3,Chicago
5,Tesla Model 3,San Francisco
5,Hyundai Kona,Los Angeles
5,Hyundai Kona,New York
5,Chevy Bolt,Houston
5,Tesla Model 3,Los Angeles
5,BMW i3,San Francisco
5,Nissan Leaf,San Francisco
5,Nissan Leaf,San Francisco
5,Chevy Bolt,San Francisco
5,Nissan Leaf,Chicago
5,Nissan Leaf,Los Angeles
5,Nissan Leaf,Los Angeles
5,Chevy Bolt,New York
5,Nissan Leaf,Houston
5,Tesla Model 3,San Francisco
5,Tesla Model 3,Chicago
5,Chevy Bolt,Los Angeles
5,BMW i3,Houston
5,Chevy Bolt,Los Angeles
5,Tesla Model 3,Houston
5,Chevy Bolt,Chicago
5,Tesla Model 3,Houston
5,Chevy Bolt,Los Angeles
