charger_type,vehicle_model,charging_station_location
Level 2,Hyundai Kona,New York
Level 2,Tesla Model 3,New York
Level 2,Tesla Model 3,New York
Level 2,Chevy Bolt,New York
Level 2,Tesla Model 3,New York
Level 2,Hyundai Kona,New York
Level 2,Chevy Bolt,New York
Level 2,Tesla Model 3,New York
Level 2,Nissan Leaf,New York
Level 2,BMW i3,New York
Level 2,Tesla Model 3,New York
Level 2,Nissan Leaf,New York
Level 2,Chevy Bolt,New York
Level 2,Tesla Model 3,New York
Level 2,Nissan Leaf,New York
Level 2,Chevy Bolt,New York
Level 2,Tesla Model 3,New York
Level 2,BMW i3,New York
Level 2,Nissan Leaf,New York
Level 2,Nissan Leaf,New York
Level 2,Hyundai Kona,New York
Level 2,Hyundai Kona,New York
Level 2,Tesla Model 3,New York
Level 2,Nissan Leaf,New York
Level 2,Nissan Leaf,New York
Level 2,Tesla Model 3,New York
Level 2,Chevy Bolt,New York
Level 2,BMW i3,New York
Level 2,Hyundai Kona,New York
Level 2,Tesla Model 3,New York
Level 2,Tesla Model 3,New York
Level 2,Nissan Leaf,New York
Level 2,Nissan Leaf,New York
Level 2,Chevy Bolt,New York
Level 2,Chevy Bolt,New York
Level 2,Tesla Model 3,New York
Level 2,Tesla Model 3,New York
Level 2,Chevy Bolt,New York
Level 2,Chevy Bolt,New York
Level 2,BMW i3,New York
Level 2,Hyundai Kona,New York
Level 2,Nissan Leaf,New York
Level 2,BMW i3,New York
Level 2,Chevy Bolt,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,BMW i3,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,BMW i3,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,BMW i3,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Hyundai Kona,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,BMW i3,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Nissan Leaf,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Chevy Bolt,San Francisco
Level 2,Tesla Model 3,San Francisco
Level 2,Nissan Leaf,San Francisco
